Doc_ID,Nama_Tempat,Lokasi,Rating,Teks_Mentah
1,Kuncen Camp Ground,"Kab. Semarang, Jateng",5,"Bagus banget tempatnya, terkonsep dan guide nya super duper membantu."
2,Kuncen Camp Ground,"Kab. Semarang, Jateng",5,"Sangat menyenangkan untuk camping ceria.
Nyaman. Disediakan banyak toilet bersih, disediakan colokan listrik.
Pemandangan bagus. Murah pula."
3,Kuncen Camp Ground,"Kab. Semarang, Jateng",5,"Tempatnya asri dan sejuk, sudah lumayan ramai dengan pemukiman masyarakat. Fasilitas lumayan lengkap, kantin, toilet, gazebo, mushola,parkir luas banget. Wajib kesini untuk yang mau nge camp"
4,Kuncen Camp Ground,"Kab. Semarang, Jateng",5,"3 kali ke sini, sekali ikut acara, 2 kali bikin acara dengan 2 spot berbeda, terakhir di lantai 2 nya, lumayan luas walau cuma ada 1 pendopo aja, di bawah lebih lengkap ada pendopo, gazebo, taman kelinci, aviary , musholla dan warung.
Pengelola sangat ramah, tarif terjangkau cenderung murah."
5,Kuncen Camp Ground,"Kab. Semarang, Jateng",5,"Tempat yang cocok untuk acara kemah, kami kemah 290 orang, fasilitas memadai ada mushola, warung makan, toilet & ketersediaan air, cukup,,, cuma ati2 jalan menuju lokasi agak ekstrim naik turun dan cuma untuk 1 mobil, kondisi mobil harus sehat (sebaiknya manual)"
6,Kuncen Camp Ground,"Kab. Semarang, Jateng",5,"Tempat yang bagus, cocok untuk bersantai dan berkemah, kita bisa melihat pemandangan yang indah apalagi disaat senja / malam hari."
7,Kuncen Camp Ground,"Kab. Semarang, Jateng",5,"Wisata alam yang dikelola Desa Polobogo Getasan kab Semarang,  cocok untuk camping dan campervan, fasilitas cukup memadai, harga sewa tenda & tempat terjangkau

Disekitar lokasi wisata Banyak penjual durian yg harganya murah dan enak

Akses cukup mudah tp agak sempit, ada tanjakan/turunan cukup tajam, pastikan kendaraan anda dalam kondisi prima"
8,Kuncen Camp Ground,"Kab. Semarang, Jateng",5,Agak kotor di beberapa sudut. Fasilitas listriknya belum stabil.
9,Kuncen Camp Ground,"Kab. Semarang, Jateng",4,"Bagus. hanya saja tenda nya membuat agak panas apalagi saat siang, terasa sangat membakar"
10,Kuncen Camp Ground,"Kab. Semarang, Jateng",4,"Tempat menarik, view rawa pening, jalan akses hanya buat 1 mobil, gantian, tp ada pemandu, mobil harus benar2 sehat kalo mau kesini"
11,Camping Umbul Sidomukti,"Kab. Semarang, Jateng",4,"Spot menuju lokasi mngkin perlu perbaikan dr arah jalan bawah (jgn lupa ptunjuk arah beri spot light KLO malam biar jelas kliatan) , arah turun-naik was-was berhimpitan dgn mobil besar , area parkir ke tenda cukup jauh (masukan saja ,selalu dibantu sediakan Potter/apapun yg bsa membantu pengunjung/penginapan di tenda bsa nyaman u/ bawa² beberapa perabotan mereka) terlbh bawa anak kcil², hrus LBH kids friendly lgi, lokasi cukup oke untuk melihat sunrise , spot main drtpat A,ke tmpt B dll cukup woaaahhh Mayan Krn dr kontur tanah jg berbukit², pelayanannya saja perlu perbaikan  LG ya, sarapannya cukup ok ."
12,Camping Umbul Sidomukti,"Kab. Semarang, Jateng",5,Rekomended bgt buat camping murah 200 ribuan tinggal masuk tenda sudah ada matras dan sleeping bag. Sudah free kolam renang
13,Camping Umbul Sidomukti,"Kab. Semarang, Jateng",5,"View bagus, udara enak, staff dan semua petugas yg jaga ramah, sebenernya betah dan gak mau pulang, tp harus turun dan kembali ke habitatnya, pokoknya insyaallah kesini lagi"
14,Camping Umbul Sidomukti,"Kab. Semarang, Jateng",5,"Pertama kali camping di umbul sidomukti 😍😍😍 daannnn anak ku ga mau pulang betah bgt camping dsni selain udara yg dingin view nya jg juara, staff ramah, pkoknya mantab dan very recomend"
15,Camping Umbul Sidomukti,"Kab. Semarang, Jateng",5,"Selain keberadaan taman bermain dan kolam renang yang indah, Umbul Sidomukti juga menawarkan pengalaman menginap di alam terbuka alias camping bagi para pengunjung. Mendirikan tenda disini merupakan pengalaman menyenangkan karena bisa menikmati pemandangan yang indah dan suasana sejuk pegunungan untuk relaksasi tubuh yang letih"
16,Camping Umbul Sidomukti,"Kab. Semarang, Jateng",5,"Dari yang tadinya booking sehari,,extend jadi 3 hari saking senengnya anak² disini 😍 Pelayanan bagus,,petugas juga ramah Semoga next bisa kesini lagii..."
17,Camping Umbul Sidomukti,"Kab. Semarang, Jateng",5,sangat amat berkesan dan pelayanan super ramah dn sangat membantu. Tmpt istrht dn air panas berfungsi dgn sangat baik. Sangat direkomendasikan menginap dsni dan tmpt parkir mobil luas dan aman.
18,Camping Umbul Sidomukti,"Kab. Semarang, Jateng",5,"View sunrise-nya masyaallah sekali, cukup banget untuk 4orang dewasa. Minusnya tenda atas berisik sekali sampai susah tidur, lainnya oke Kamar mandi ada water heater + sabun cuci piring waww sekali. Tenkyuu kaa, tenda panggung is the bestt"
19,Camping Umbul Sidomukti,"Kab. Semarang, Jateng",2,"Isinya bayar doang. Mungkin cocok dengan orang yang ingin bersantai, tapi tidak cocok untuk camping mode muncak"
20,Camping Umbul Sidomukti,"Kab. Semarang, Jateng",5,"Camping tanpa ribet. Tenda udah ada kasur,ada selimut dan bantal. Kalo mau bakar2an tapi gak bawa kompor portable bisa sewa juga. Udaranya seger khas pegunungan. Kalo malam bisa liat citylight. Gak bosen deh camping di tempat ini."
21,Pinusan Nglimut,"Kendal, Jateng",5,Enak buat nongkrong santai sambil menghirup udara segar
22,Pinusan Nglimut,"Kendal, Jateng",5,"tempatnya adem, sejuk, cocok untuk piknik keluarga. coba jalan pas ke pinusannya agak berbatu dan fasilitasnya kurang terawat"
23,Pinusan Nglimut,"Kendal, Jateng",5,adem ayem buat nenangin pikiran si hehew trus juga jajan murah meriah juga walaupun di tempat wisata
24,Pinusan Nglimut,"Kendal, Jateng",5,"Tempatnya enak, yang ga enak polusi suaranya. Pada bawa speaker aktif. Ndeso. Kayak ga ada tempat lain aja. Petugas juga diem, ato memang dibolehin sama petugas? Padahal potensial buat dikembangin."
25,Pinusan Nglimut,"Kendal, Jateng",2,"Padahal berbayar juga masuknya per orang 10k dan bayar parkir juga, tapi tidak dipeehatikan mengenai fasilitas infrastruktur nya, seperti jalanan yang berbatu tidak dibenahi dari dulu, banyak sampah berserakan juga, banyak tempat duduk dari kayu yang sudah rusak/ ambruk, gasebo juga reyot. Mohon diperbaiki lagi."
26,Pinusan Nglimut,"Kendal, Jateng",3,"Sekedar berbagi pengalaman kesini malam bada maghrib niatan cuma mo ke warungnya aja. Gk ada niatan mo wisata malam"" apa yg mo d lihat gelap gulita n ternyata ttp byr tiket masuk n parkir n itu gk diksh kartu tiket masuk jg."
27,Pinusan Nglimut,"Kendal, Jateng",5,"wanawisata yg sejuk nan asri diantara banyak pohon pinus yg rindang menjulang. asyik & cocok utk acara bersama klrga/tmn/kolega. lokasinya sedikit masuk (+/- 100m), akses jalannya bagus namun saat masuk agak menekuk. kurangnya (-) parkir mobilnya tidak cukup luas. HTM saat wiken kami kesana 10k per-orang & parkir mobil 5k. ada camping ground yg luas, area outbond, kedai makanan & kopi. fasilitas: kamar mandi & mushola. utk toilet yg lebih bersih, yg berbayar."
28,Pinusan Nglimut,"Kendal, Jateng",4,"Kalau kamu penat dengan kerjaan atau ingin healing dengan suasana yang syahdu. Pinusan Nglimut jawabannya Saran, kami bisa bawa tikar, dan makanan ya, bawa alat bakarnya sekalian, bisa serasa Barbeque di tengah hutan Atau kalau makanan habis, kamu bisa makan di kedai/warung yang tersedia dengan harga yang terjangkau Oh ya untuk mencapai kesini, pastikan kondisi mobilmu baik ya, karena tanjakan yang cukup curam Selamat menikmati"
29,Pinusan Nglimut,"Kendal, Jateng",5,suasana sangat sejuk dan asrii
30,Pinusan Nglimut,"Kendal, Jateng",3,"Suasana & pemandangan sudah bagus, tapi fasilitasnya banyak yg tidak terawat."
31,camp ground,"Gunungkidul, DIY",5,"Pemandangan Alam yang luar biasa indah,cocok bagi para petualang sejati,, Tempatnya sejuk dan bisa banget di jadikan spot mancing pagi yang suka mancing,dan bisa juga untuk camping ground. Bagi yang sekedar ingin liburan doank,tempat ini juga rekomend, meskipun di tempat ini gak ada area spot fotonya.namun kalian masih bisa kok berfoto-foto disini dengan background pemandangan alamnya..karena bukit2 disini itu keren klo buat foto2. O y jalur untuk kesini cukup lumayan extrim, pastikan kendaraan anda itu fit,dan tetap fokus saat mengemudi. Htm :5 rbu dan parkir sepeda motor 3rb aja. Untuk mobil kurang paham,karena saya kesana pake motor😁 Udah gitu aja yak..semoga membantu."
32,camp ground,"Gunungkidul, DIY",5,"Camp Ground Kesirat Jalan masuk menuju Camp Ground jalannya sempit namun halus. Terdapat 2 titik pilihan tempat Parkir, Tersedia Musholla dan Toilet Umum. Ada beberapa anjing dari warung sekitar, pastikan makanan masuk dalam tenda waktu malam hari. Jalan Setapak Sangat membantu. Biaya; Tiket masuk @5K Parkir Mobil @15K Tenda @10K"
33,camp ground,"Gunungkidul, DIY",5,"Suka banget kemping di Kesirat. Jalan aspal menuju kesana cukup sempit dengan beberapa kelokan rada tajam. Ada beberapa akses longgar bila anda terpaksa minggir saat berbagi jalan dengan pengendara lain. Untuk area kemping ground, tanahnya rada miring. Kali kedua kemping saya belum juga menemukan tempat datar untuk mendirikan tenda. Jadinya, tidur bisa melorot pelan2 barengan alas dan sleeping bagnya 😏 Tiket masuk mobil, parkir bermalam, dan biaya kemping pertenda serba 10rb. Saya lebih memilih parkir di ujung, di sebelah warung pasangan Mbah Kis dan mushola. Mereka yang menjamin makan kami selama kemping dengan makanan khas setempat. Bisa pesan masakan ikan juga, bila ada yang tertangkap jaring yang dibentang di ujung teluk tebing Kesirat. Toilet tersedia juga dekat warung, cukup rutin dibersihkan. Bila anda kemping di Kesirat setelah membaca ulasan ini, sampaikan ke Mbah Kis ya... Saya akan segera kemping lagi kesana 🌻🌻🌻 - Ajenk."
34,camp ground,"Gunungkidul, DIY",4,"Pemandangannya keren banget masyallah, tempatnya enak buatnyantai kalo panas bisa berteduh dibawah pohon (harus pinter nyari tempat berteduh kalo panas)"
35,camp ground,"Gunungkidul, DIY",4,"Tempat nya bagus banget buat camp, rute perjalanan sulit untuk dilalui mobil (motor juga tetap tidak mudah), sekarang sudah banyak sampah di camp ground nya, mungkin bisa diperbanyak pohon lagi..., SARAN WAJIB : membawa kipas angin portable karena panas sekali di dalam tenda, semoga kedepannya pengunjung lebih bisa menjaga kebersihan dengan lebih baik"
36,camp ground,"Gunungkidul, DIY",5,Pertama kita nyesel pertama kali sampai karna tidak bisa mandi2 tapi setelah kami menegakkan tenda dan menikmati pemandangan lalu foto bareng baru lah kami merasa kehilangan akan rasa kesel
37,camp ground,"Gunungkidul, DIY",5,Pemandangan sangat luar biasa. Kesini saat cuaca cerah dan kesini bisa menikmati sunset kesirat. Pantai kesirat ini jg memiliki tebing2 yg sangat bagus dan bisa utk ngecamp bareng teman sambil menikmati view pemandangan yg sangat bagus dan suasana yg asri.
38,camp ground,"Gunungkidul, DIY",5,"Sepertinya hingga saat ini belum banyak orang yang tahu tentang lokasi camping yang satu ini, jadi wajar bila suasananya masih terasa sangat alami begini, selain menawarkan keindahan alam yang sangat memesona, disini juga merupakan surganya bagi para pemancing maupun nelayan untuk mencari ikan laut. Jadi jangan heran bila anda menemui beberapa pemancing atau nelayan di kawasan sini, namun jika anda juga memiliki hobi memancing, anda bisa langsung bergabung dengan mereka dan memancing bersama, pasti seru"
39,camp ground,"Gunungkidul, DIY",5,"Tempatnya keren banget,, lokasi tidak terlalu jauh dari kota. Waktu saya berkunjung, pas lagi cerah dan rumputnya sedang hijau. Serasa pergi ke gunung untuk melihat laut."
40,camp ground,"Gunungkidul, DIY",4,Tempatnya masih belum rata...banyak batunya...
41,Jogja Camp,"Gunungkidul, DIY",5,"Camping ground oke deket pantai sundak, jalannya aman dan mulus, kamar mandi nya bnyak gaperlu khawatir antri, dan paling penting keamanannya dipikirin banget sih kayak listrik ada di bagian limasan tidak dimsukkin ke tenda jadi aman kalau hujan juga"
42,Jogja Camp,"Gunungkidul, DIY",5,"Fasilitasnya lengkap banget! Toilet bersih, ada penjaga nya ramah, resepsionis, paket canoe dan snorkeling, panggung, bahkan disediakan hammock. Suasana hutan dan pantai bikin betah!"
43,Jogja Camp,"Gunungkidul, DIY",5,"Lokasi sangat dekat dengan pantai sundak. Pengalaman pertama camping dengan anak jadi cari lokasi yang sudah include tenda. Untuk tenda masih ok untuk 2 dewasa dan 1 anak. Fasilitas parkir aman, kamar mandi buanyak, listrik ada, tempat nyuci perlengkapan masak ada, musholla ada. Pulang dari sana anak minta hammock buat main ayunan"
44,Jogja Camp,"Gunungkidul, DIY",5,"Camping di sini berasa kayak liburan di tempat bebas tapi serba ada. Bisa tidur di alam tapi tetap nyaman karena fasilitasnya top. Udah gitu, suara ombak bikin tidur makin nyenyak!"
