kandidat_token_baru,frekuensi
dan,272
di,177
tenda,75
ke,74
buat,66
area,60
nya,59
banyak,51
parkir,50
bersih,48
saya,48
banget,47
ini,44
kesini,41
fasilitas,39
luas,39
lagi,38
tempatnya,37
cocok,36
mobil,36
air,34
k,34
jam,32
indah,30
masuk,30
kamar,30
kalo,29
ramah,28
malam,28
hari,28
alam,28
atau,28
harus,27
sewa,27
mandi,27
disini,26
nyaman,25
anak,25
sekitar,25
sejuk,24
bawa,23
makanan,23
listrik,22
sekali,22
beberapa,22
gunung,22
tiket,21
itu,21
bukit,21
datang,21
asri,20
lengkap,20
orang,20
naik,20
enak,20
sampai,20
ground,20
pengunjung,19
tersedia,19
dekat,19
ramai,18
menuju,18
kita,18
menikmati,18
atas,18
bayar,18
motor,18
tenang,18
telaga,18
kali,17
kami,17
mushola,17
ya,17
baik,17
sama,17
turun,16
suasana,16
pagi,16
sikunir,16
lumayan,15
keluarga,15
biaya,15
jangan,15
pantainya,15
sini,14
akses,14
dingin,14
aman,14
lain,14
bersama,14
jika,14
terlalu,14
makan,13
wisata,13
mungkin,13
langsung,13
sepi,13
terjangkau,12
kondisi,12
jauh,12
oke,12
bagi,12
semoga,12
per,12
suka,12
akan,12
baru,12
sih,12
pengelola,11
berkemah,11
mudah,11
anda,11
semua,11
jalannya,11
liburan,11
foto,11
tetap,11
teman,11
parkiran,11
kecil,11
hati,11
restrooms,11
bawah,10
melihat,10
kotor,10
panas,10
terasa,10
sunrise,10
tinggal,10
pertama,10
bermain,10
pengalaman,10
para,10
seperti,10
kesana,10
biasa,10
pemandangannya,10
lah,10
satu,10
basecamp,10
campervan,9
dalam,9
belum,9
perlu,9
udara,9
pokoknya,9
menginap,9
pelayanan,9
tanpa,9
namun,9
kamu,9
syahdu,9
sunset,9
paling,9
sana,9
sesuai,9
penerangan,9
adalah,9
kemarin,9
playground,9
disediakan,8
acara,8
pastikan,8
lupa,8
biar,8
jelas,8
menawarkan,8
sampah,8
pohon,8
saran,8
karna,8
keindahan,8
kota,8
hujan,8
kaki,8
lahan,8
disana,8
matahari,8
pilih,8
dapat,8
puncak,8
x,8
taman,7
musholla,7
mendirikan,7
ingin,7
deh,7
sambil,7
berbayar,7
dulu,7
tengah,7
luar,7
keren,7
setelah,7
angin,7
kebersihan,7
lalu,7
alami,7
laut,7
paket,7
boleh,7
pinggir,7
persewaan,7
waduk,7
sebelum,7
salah,7
sore,7
glamping,7
depan,7
ungaran,7
pakai,7
membantu,6
bersantai,6
apalagi,6
siang,6
besar,6
main,6
pegunungan,6
tidur,6
adem,6
fasilitasnya,6
terawat,6
masuknya,6
mohon,6
n,6
meskipun,6
kesirat,6
bila,6
sebelah,6
perjalanan,6
membawa,6
bareng,6
cuaca,6
cerah,6
maupun,6
cari,6
airnya,6
termasuk,6
sendiri,6
weekend,6
awal,6
supaya,6
viewnya,6
pernah,6
menghadap,6
buka,6
samping,6
beli,6
kidul,6
cantik,6
siap,6
sampe,6
bintang,6
tendanya,6
lantai,5
walau,5
disekitar,5
sempit,5
selalu,5
mereka,5
betah,5
pulang,5
selain,5
padahal,5
sekedar,5
apa,5
lihat,5
kalian,5
kok,5
pesan,5
sekarang,5
pasti,5
deket,5
bagian,5
bebas,5
sholat,5
setiap,5
minim,5
terbit,5
jogja,5
pasang,5
pasir,5
aku,5
akhirnya,5
musim,5
ombaknya,5
warga,5
pun,5
libur,5
badan,5
menjadi,5
minggu,5
cakep,5
menganti,5
bangett,5
potrobayan,5
dogfriendliness,5
it,5
