kata_1,kata_2,frekuensi
tidak,rekomend,3
tidak,cocok,2
cocok,camping,2
tidak,sesuai,2
kali,kesini,2
parkir,mobil,2
musik,keras,2
tinggal,pergi,2
tukang,parkir,2
tenda,bocor,2
wc,kotor,2
jam,malam,2
isi,bayar,1
bayar,doang,1
doang,cocok,1
cocok,orang,1
orang,santa,1
santa,tidak,1
camping,mode,1
mode,muncak,1
muncak,bayar,1
bayar,masuk,1
masuk,orang,1
orang,bayar,1
bayar,parkir,1
parkir,tidak,1
tidak,dipeehatikan,1
dipeehatikan,fasilitas,1
fasilitas,infrastruktur,1
infrastruktur,nya,1
nya,jalan,1
jalan,batu,1
batu,tidak,1
tidak,benah,1
benah,sampah,1
sampah,sera,1
sera,duduk,1
duduk,kayu,1
kayu,rusak,1
rusak,ambruk,1
ambruk,gasebo,1
gasebo,reyot,1
reyot,mohon,1
mohon,baik,1
baik,komunikasi,1
komunikasi,buruk,1
buruk,tidak,1
sesuai,lahan,1
lahan,pesan,1
pesan,dp,1
