kata_1,kata_2,frekuensi
kamar,mandi,20
sewa,tenda,16
picnic,area,11
parkir,mobil,10
camping,ground,10
bukit,sikunir,9
tiket,masuk,8
fasilitas,lengkap,8
bagus,banget,7
diri,tenda,7
pandang,bagus,6
akses,jalan,6
toilet,mushola,6
area,camping,6
gunung,ungar,6
tempat,bagus,6
sedia,toilet,5
colok,listrik,5
mushola,warung,5
pandang,indah,5
nya,ramah,5
jalan,kaki,5
pinggir,sungai,5
sewa,alat,5
parkir,motor,5
kemah,bukit,5
area,piknik,5
area,camp,5
bersih,sedia,4
cocok,camping,4
taman,main,4
nikmat,pandang,4
murah,riah,4
mandi,mushola,4
camp,ground,4
yg,bagus,4
lengkap,banget,4
ramah,anak,4
fasilitas,toilet,4
main,air,4
minim,terang,4
cinta,alam,4
hati,hati,4
gunung,kidul,4
buka,jam,4
alat,camping,4
bumi,kemah,4
ramai,unjung,4
worth,it,4
banget,tempat,3
