kata_1,kata_2,kata_3,frekuensi
kemah,bukit,sikunir,5
kamar,mandi,mushola,4
kamar,mandi,bersih,4
bumi,kemah,bukit,4
tiket,masuk,murah,3
bayar,tiket,masuk,3
jalan,kaki,menit,3
toilet,kamar,mandi,3
toilet,bersih,sedia,2
mushola,warung,makan,2
oke,kamar,mandi,2
tidak,cocok,camping,2
tiket,masuk,parkir,2
bawa,kipas,angin,2
pandang,yg,bagus,2
pantai,jalan,kaki,2
langsung,hadap,laut,2
tugas,nya,ramah,2
camping,ground,nya,2
fasilitas,toilet,mushola,2
mandi,bersih,air,2
yg,camping,ground,2
toilet,mushola,warung,2
jalan,sekitar,waduk,2
camping,bareng,keluarga,2
sedia,area,parkir,2
tanpa,air,panas,2
hiruk,pikuk,kota,2
pantai,pasir,putih,2
lengkap,kamar,mandi,2
mandi,mushola,warung,2
sewa,tenda,dll,2
jangan,buang,sampah,2
buang,sampah,sembarang,2
pasir,putih,ombak,2
bibir,pantai,lantai,2
pantai,lantai,karang,2
harga,makan,warung,2
klo,pantai,klo,2
bawa,alat,camping,2
minggat,baik,sibuk,2
baik,sibuk,kerja,2
sibuk,kerja,tempat,2
kerja,tempat,tenang,2
tempat,tenang,dingin,2
tenang,dingin,warga,2
dingin,warga,nya,2
warga,nya,ramah,2
nya,ramah,jos,2
ramah,jos,biaya,2
jos,biaya,tenda,2
biaya,tenda,inap,2
tenda,inap,murah,2
inap,murah,riah,2
kamar,mandi,area,2
mandi,area,piknik,2
daki,gunung,ungar,2
gunung,gunung,jawa,2
kamar,mandi,toilet,2
bawa,badan,aja,2
picnic,area,bagus,2
camping,pandang,bagus,2
orang,parkir,motor,2
potrobayan,river,camp,2
tidak,area,camp,2
bayar,indah,pantai,2
pantai,gunung,kidul,2
camping,bawa,tenda,2
dogfriendliness,tidak,picnic,2
tidak,picnic,area,2
harga,tiket,orang,2
medan,jalan,nya,2
bagus,banget,tempat,1
banget,tempat,konsep,1
tempat,konsep,guide,1
konsep,guide,nya,1
guide,nya,super,1
nya,super,duper,1
super,duper,bantu,1
duper,bantu,senang,1
bantu,senang,camping,1
senang,camping,ceria,1
camping,ceria,nyaman,1
ceria,nyaman,sedia,1
nyaman,sedia,toilet,1
sedia,toilet,bersih,1
bersih,sedia,colok,1
sedia,colok,listrik,1
colok,listrik,pandang,1
listrik,pandang,bagus,1
pandang,bagus,murah,1
bagus,murah,tempat,1
murah,tempat,asri,1
tempat,asri,sejuk,1
asri,sejuk,lumayan,1
sejuk,lumayan,ramai,1
lumayan,ramai,mukim,1
ramai,mukim,masyarakat,1
mukim,masyarakat,fasilitas,1
masyarakat,fasilitas,lumayan,1
